city,X,Y,items,weights,profit
0,455050.0,14175.0,[],[],[]
1,454850.0,0.0,"[0, 33809, 67618, 101427, 135236]",[1008. 1004. 1002. 1004. 1005.],[  1. 499. 198. 271.  19.]
2,485050.0,14175.0,"[1, 33810, 67619, 101428, 135237]",[1006. 1008. 1001. 1000. 1001.],[896. 538. 713. 480. 137.]
3,484850.0,0.0,"[2, 33811, 67620, 101429, 135238]",[1006. 1000. 1002. 1006. 1002.],[367. 310. 453.  96. 657.]
4,515050.0,14175.0,"[3, 33812, 67621, 101430, 135239]",[1001. 1007. 1005. 1006. 1002.],[690. 237. 562. 983. 281.]
5,514850.0,0.0,"[4, 33813, 67622, 101431, 135240]",[1006. 1002. 1006. 1009. 1007.],[613. 961. 386. 742.  33.]
6,681725.0,230450.0,"[5, 33814, 67623, 101432, 135241]",[1001. 1000. 1005. 1002. 1000.],[874. 679. 191. 218. 752.]
7,695900.0,230250.0,"[6, 33815, 67624, 101433, 135242]",[1009. 1004. 1001. 1007. 1008.],[122. 409. 647. 222. 870.]
8,681725.0,260450.0,"[7, 33816, 67625, 101434, 135243]",[1004. 1001. 1000. 1007. 1006.],[486. 221. 354. 641. 364.]
9,695900.0,260250.0,"[8, 33817, 67626, 101435, 135244]",[1001. 1001. 1007. 1003. 1003.],[823. 881. 608. 697. 402.]
10,681725.0,290450.0,"[9, 33818, 67627, 101436, 135245]",[1003. 1009. 1009. 1004. 1002.],[463.  61. 910. 426. 792.]
11,695900.0,290250.0,"[10, 33819, 67628, 101437, 135246]",[1004. 1000. 1006. 1001. 1001.],[589.  33. 274. 572. 580.]
12,681725.0,320450.0,"[11, 33820, 67629, 101438, 135247]",[1009. 1006. 1003. 1009. 1008.],[325. 984. 933. 788. 429.]
13,695900.0,320250.0,"[12, 33821, 67630, 101439, 135248]",[1006. 1001. 1008. 1002. 1006.],[1000.  356.   12.  781.  641.]
14,681725.0,350450.0,"[13, 33822, 67631, 101440, 135249]",[1005. 1003. 1001. 1008. 1000.],[776. 208. 428. 986. 492.]
