city,X,Y,items,weights,profit
0,288.0,149.0,[],[],[]
1,288.0,129.0,"[0, 279, 558, 837, 1116]",[1008. 1009. 1005. 1000. 1007.],[  1. 375. 283. 868. 274.]
2,270.0,133.0,"[1, 280, 559, 838, 1117]",[1006. 1004. 1001. 1006. 1009.],[896. 875. 434. 203.  64.]
3,256.0,141.0,"[2, 281, 560, 839, 1118]",[1006. 1006. 1002. 1002. 1002.],[367. 299. 930. 533. 268.]
4,256.0,157.0,"[3, 282, 561, 840, 1119]",[1001. 1009. 1000. 1001. 1001.],[690. 969. 154. 137. 230.]
5,246.0,157.0,"[4, 283, 562, 841, 1120]",[1006. 1005. 1007. 1002. 1003.],[613. 215. 123. 451.  83.]
6,236.0,169.0,"[5, 284, 563, 842, 1121]",[1001. 1000. 1005. 1004. 1008.],[874. 435. 862. 155. 863.]
7,228.0,169.0,"[6, 285, 564, 843, 1122]",[1009. 1002. 1003. 1008. 1005.],[122. 648. 530. 302. 426.]
8,228.0,161.0,"[7, 286, 565, 844, 1123]",[1004. 1004. 1000. 1005. 1006.],[486. 515. 104. 643.  53.]
9,220.0,169.0,"[8, 287, 566, 845, 1124]",[1001. 1001. 1003. 1006. 1004.],[823. 351. 779. 471. 707.]
10,212.0,169.0,"[9, 288, 567, 846, 1125]",[1003. 1001. 1007. 1009. 1005.],[463. 582. 459. 224. 182.]
11,204.0,169.0,"[10, 289, 568, 847, 1126]",[1004. 1000. 1002. 1004. 1005.],[589.  32. 823. 160. 883.]
12,196.0,169.0,"[11, 290, 569, 848, 1127]",[1009. 1001. 1008. 1005. 1003.],[325. 901. 343. 239. 263.]
13,188.0,169.0,"[12, 291, 570, 849, 1128]",[1006. 1007. 1000. 1006. 1008.],[1000.  902.  246.   99.  849.]
14,196.0,161.0,"[13, 292, 571, 850, 1129]",[1005. 1001. 1009. 1001. 1008.],[776. 494. 883. 673. 564.]
15,188.0,145.0,"[14, 293, 572, 851, 1130]",[1000. 1009. 1001. 1004. 1006.],[123. 766. 227. 940. 411.]
16,172.0,145.0,"[15, 294, 573, 852, 1131]",[1000. 1006. 1004. 1009. 1008.],[356. 602. 823. 153. 846.]
17,164.0,145.0,"[16, 295, 574, 853, 1132]",[1007. 1008. 1009. 1002. 1004.],[305. 494.  32. 155. 820.]
18,156.0,145.0,"[17, 296, 575, 854, 1133]",[1006. 1000. 1005. 1006. 1003.],[ 47. 147. 126. 488. 737.]
19,148.0,145.0,"[18, 297, 576, 855, 1134]",[1008. 1000. 1000. 1003. 1008.],[645. 418. 166. 634. 198.]
20,140.0,145.0,"[19, 298, 577, 856, 1135]",[1000. 1006. 1006. 1005. 1006.],[139. 628. 324. 623. 929.]
21,148.0,169.0,"[20, 299, 578, 857, 1136]",[1009. 1006. 1006. 1005. 1007.],[247. 219. 361. 871. 600.]
22,164.0,169.0,"[21, 300, 579, 858, 1137]",[1009. 1001. 1003. 1002. 1009.],[211. 837. 706. 208. 769.]
23,172.0,169.0,"[22, 301, 580, 859, 1138]",[1007. 1005. 1007. 1000. 1006.],[100. 340. 503. 102. 172.]
24,156.0,169.0,"[23, 302, 581, 860, 1139]",[1004. 1002. 1001. 1002. 1006.],[627. 441. 419. 289. 975.]
25,140.0,169.0,"[24, 303, 582, 861, 1140]",[1002. 1006. 1001. 1000. 1006.],[760. 315. 195. 703. 624.]
26,132.0,169.0,"[25, 304, 583, 862, 1141]",[1006. 1000. 1007. 1005. 1003.],[776. 109. 945. 295. 487.]
27,124.0,169.0,"[26, 305, 584, 863, 1142]",[1006. 1007. 1009. 1000. 1004.],[475. 343. 970. 807. 366.]
28,116.0,161.0,"[27, 306, 585, 864, 1143]",[1007. 1004. 1008. 1004. 1007.],[937. 616. 257. 547. 723.]
29,104.0,153.0,"[28, 307, 586, 865, 1144]",[1008. 1008. 1009. 1000. 1009.],[101. 532.  41. 325. 346.]
30,104.0,161.0,"[29, 308, 587, 866, 1145]",[1008. 1007. 1001. 1007. 1000.],[281. 522. 352. 859.  60.]
31,104.0,169.0,"[30, 309, 588, 867, 1146]",[1008. 1003. 1008. 1005. 1000.],[751. 897. 137. 756. 376.]
32,90.0,165.0,"[31, 310, 589, 868, 1147]",[1006. 1008. 1003. 1002. 1009.],[530. 514. 192. 328. 599.]
33,80.0,157.0,"[32, 311, 590, 869, 1148]",[1004. 1002. 1009. 1003. 1001.],[240. 986.  41. 544. 808.]
34,64.0,157.0,"[33, 312, 591, 870, 1149]",[1005. 1001. 1001. 1008. 1007.],[248. 888. 380. 990. 743.]
35,64.0,165.0,"[34, 313, 592, 871, 1150]",[1000. 1005. 1005. 1005. 1000.],[768. 759. 222. 311. 279.]
36,56.0,169.0,"[35, 314, 593, 872, 1151]",[1003. 1000. 1005. 1009. 1006.],[ 31. 323.  52. 726. 499.]
37,56.0,161.0,"[36, 315, 594, 873, 1152]",[1007. 1001. 1007. 1009. 1002.],[613. 176. 656.  69. 227.]
38,56.0,153.0,"[37, 316, 595, 874, 1153]",[1004. 1002. 1009. 1009. 1002.],[881. 919. 612.   4. 763.]
39,56.0,145.0,"[38, 317, 596, 875, 1154]",[1007. 1007. 1009. 1004. 1006.],[367.  67. 364. 387.  98.]
40,56.0,137.0,"[39, 318, 597, 876, 1155]",[1000. 1009. 1004. 1003. 1005.],[712. 503. 199. 309. 260.]
