city,X,Y,items,weights,profit
0,5639.0,6909.0,[],[],[]
1,5652.0,6142.0,"[0, 4460, 8920, 13380, 17840, 22300, 26760, 31220, 35680, 40140]",[  1. 594. 864. 631. 421. 948. 550.  57.  92. 950.],[119. 820. 232. 886. 114. 290.  78. 521. 687. 534.]
2,5654.0,6101.0,"[1, 4461, 8921, 13381, 17841, 22301, 26761, 31221, 35681, 40141]",[896. 121.  93. 330. 648. 961.  91. 147. 818. 131.],[187. 837. 461. 192.  47. 891. 735. 817.  41. 657.]
3,5659.0,6910.0,"[2, 4462, 8922, 13382, 17842, 22302, 26762, 31222, 35682, 40142]",[367. 465. 698. 517. 560. 532. 338. 470. 526. 698.],[997. 300.  13. 156.  88. 652. 193. 229. 336. 258.]
4,5659.0,6920.0,"[3, 4463, 8923, 13383, 17843, 22303, 26763, 31223, 35683, 40143]",[690. 892. 280. 675. 812.  44. 424. 644. 335. 188.],[ 22. 832.  48. 536. 554. 331. 896. 156. 825. 275.]
5,5661.0,6182.0,"[4, 4464, 8924, 13384, 17844, 22304, 26764, 31224, 35684, 40144]",[613. 505. 249. 703. 441. 142. 342. 244.  61. 873.],[347. 992. 649. 261. 310. 193. 164. 824. 605. 609.]
6,5663.0,6830.0,"[5, 4465, 8925, 13385, 17845, 22305, 26765, 31225, 35685, 40145]",[874. 257. 759. 560. 106. 295. 247. 673. 786. 795.],[522.  36. 306. 872. 139. 227.  10.  99. 100. 884.]
7,5669.0,6213.0,"[6, 4466, 8926, 13386, 17846, 22306, 26766, 31226, 35686, 40146]",[122. 636. 330. 884. 104. 986. 468.  63. 263. 441.],[730. 623. 993.  76. 981. 867.  24. 527. 980. 880.]
8,5670.0,6425.0,"[7, 4467, 8927, 13387, 17847, 22307, 26767, 31227, 35687, 40147]",[486. 637. 726. 805. 280.  69.   7. 920. 207. 610.],[705. 921. 367. 913. 128. 623. 746. 672. 802. 131.]
9,5671.0,6870.0,"[8, 4468, 8928, 13388, 17848, 22308, 26768, 31228, 35688, 40148]",[823. 832. 743. 851. 658. 350. 600. 327. 256. 839.],[232. 143. 136.  64. 766. 462. 484. 461. 386. 717.]
10,5673.0,6132.0,"[9, 4469, 8929, 13389, 17849, 22309, 26769, 31229, 35689, 40149]",[463. 827. 453. 878. 555. 178. 788. 971. 988. 853.],[554. 614. 238. 875. 953. 255. 467.  64. 217. 548.]
11,5682.0,6840.0,"[10, 4470, 8930, 13390, 17850, 22310, 26770, 31230, 35690, 40150]",[ 589. 1000.  365.  660.  792.  147.  932.  675.   25.  324.],[675. 481. 556. 524. 124. 866. 518. 407. 362. 100.]
12,5690.0,6891.0,"[11, 4471, 8931, 13391, 17851, 22311, 26771, 31231, 35691, 40151]",[325. 294. 158. 140. 109.  63. 944. 490. 617. 193.],[ 970.  148.  925.  977.  480.  713. 1000.  297.  802.  134.]
13,5694.0,6801.0,"[12, 4472, 8932, 13392, 17852, 22312, 26772, 31232, 35692, 40152]",[1000.  950.  397.  965.  822.   35.  769.  710.   45.  880.],[407. 425. 100. 435. 108. 368.  58. 933.  23. 305.]
14,5698.0,6265.0,"[13, 4473, 8933, 13393, 17853, 22313, 26773, 31233, 35693, 40153]",[776. 592. 141.  17. 228. 300. 583. 917. 154. 920.],[276. 121.  51. 187. 290. 925. 960. 380. 202. 829.]
